Model,Model_Params,Cost_Matrix_Value,Optimizer,Optimizer_Params,Accuracy,Precision,Recall,F1-score,MCC,Avg_ROI,TP_positions,total_positions,positive_positions
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 4}",0.15,Adam,{'lr': 0.001},0.724696356,1,0.00729927,0.014492754,0.072702671,0.080333076,1,1,1
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 3}",0.15,RMSprop,{'lr': 0.001},0.724696356,1,0.00729927,0.014492754,0.072702671,0.055758556,1,1,1
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 2}",0.1,RMSprop,{'lr': 0.001},0.724696356,1,0.00729927,0.014492754,0.072702671,0.049225048,1,1,1
ResNet,{},0.05,RMSprop,{'lr': 0.001},0.724696356,0.538461538,0.051094891,0.093333333,0.095894667,0.043831451,7,13,10
ResNet,{},0.2,Adam,{'lr': 0.001},0.728744939,0.714285714,0.03649635,0.069444444,0.117019051,0.043548095,5,7,5
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 64, 'num_layers': 2}",0.15,Adam,{'lr': 0.001},0.724696356,1,0.00729927,0.014492754,0.072702671,0.042687512,1,1,1
ResNet,{},0.3,RMSprop,{'lr': 0.01},0.775303644,0.782608696,0.262773723,0.393442623,0.361663956,0.041502629,36,46,40
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 4}",0.3,RMSprop,{'lr': 0.001},0.726720648,0.666666667,0.02919708,0.055944056,0.096433045,0.039280439,4,6,5
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 2}",0.05,Adam,{'lr': 0.01},0.732793522,0.857142857,0.04379562,0.083333333,0.155276769,0.038881274,6,7,7
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 2}",1.627659574,Adam,{'lr': 0.001},0.751012146,0.705882353,0.175182482,0.280701754,0.260254997,0.03695038,24,34,31
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 3}",0.2,Adam,{'lr': 0.001},0.732793522,1,0.03649635,0.070422535,0.16323166,0.036361291,5,5,5
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 4}",0.4,Adam,{'lr': 0.01},0.724696356,1,0.00729927,0.014492754,0.072702671,0.036358862,1,1,1
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 3}",1.627659574,Adam,{'lr': 0.01},0.803643725,0.763157895,0.423357664,0.544600939,0.462738362,0.035802781,58,76,68
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 3}",0.3,Adam,{'lr': 0.01},0.722672065,0.5,0.00729927,0.014388489,0.031712519,0.033430729,1,2,2
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",0.2,RMSprop,{'lr': 0.01},0.748987854,0.709677419,0.160583942,0.261904762,0.249895165,0.033263246,22,31,26
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 4}",0.15,RMSprop,{'lr': 0.001},0.728744939,0.8,0.02919708,0.056338028,0.118057184,0.031397067,4,5,4
