Model,Model_Params,Loss_Function,Optimizer,Optimizer_Params,Accuracy,Precision,Recall,F1-score,MCC,Avg_ROI,TP_positions,total_positions,positive_positions
MLP,{'dropout_rate': 0.1},CostSensitiveLoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.3097165991902834,0.27631578947368424,0.9197080291970803,0.4249578414839798,-0.007831883807534978,0.004540344140957283,126,456,236
MLP,{'dropout_rate': 0.1},CostSensitiveLoss,Adam,{'lr': 0.001},0.5141700404858299,0.2185792349726776,0.291970802919708,0.25,-0.10066446051878701,0.0016979226354503533,40,183,86
MLP,{'dropout_rate': 0.1},CostSensitiveLoss,Adam,{'lr': 0.01},0.7206477732793523,0.0,0.0,0.0,-0.027899904447063875,-0.0134242381080267,0,1,0
MLP,{'dropout_rate': 0.1},CostSensitiveLoss,RMSprop,{'lr': 0.001},0.3319838056680162,0.2617283950617284,0.7737226277372263,0.39114391143911437,-0.0743321786659695,0.0043464336410267415,106,405,208
MLP,{'dropout_rate': 0.1},CostSensitiveLoss,RMSprop,{'lr': 0.01},0.15991902834008098,0.15594059405940594,0.45985401459854014,0.23290203327171902,-0.5744806220514359,-0.0030131191047011972,63,404,167
MLP,{'dropout_rate': 0.1},BCELoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.7004048582995951,0.0,0.0,0.0,-0.0934865111936906,-0.0109942094242115,0,11,3
MLP,{'dropout_rate': 0.1},BCELoss,Adam,{'lr': 0.001},0.7206477732793523,0.0,0.0,0.0,-0.027899904447063875,0.006055010352719,0,1,1
MLP,{'dropout_rate': 0.1},BCELoss,Adam,{'lr': 0.01},0.7206477732793523,0.4,0.014598540145985401,0.028169014084507043,0.027708231350928408,-0.0007901384311792402,2,5,3
MLP,{'dropout_rate': 0.1},BCELoss,RMSprop,{'lr': 0.001},0.5465587044534413,0.24561403508771928,0.30656934306569344,0.27272727272727276,-0.051544105305729636,0.0032101040881859534,42,171,86
MLP,{'dropout_rate': 0.1},BCELoss,RMSprop,{'lr': 0.01},0.6882591093117408,0.05263157894736842,0.0072992700729927005,0.01282051282051282,-0.10038263298483663,-0.004363767323720732,1,19,8
